upstream_path,bbk_path,classification,upstream_sha256,local_sha256,license,reason
.gitattributes,third_party/codex-deepseek-subagent/.gitattributes,COPIED,d60f352d0db1404c70afb4bb8b2ca3fd1c610572aa40720e8a0b7baa7885418c,d60f352d0db1404c70afb4bb8b2ca3fd1c610572aa40720e8a0b7baa7885418c,MIT,retained for complete pinned source closure
.github/CONTRIBUTING.md,third_party/codex-deepseek-subagent/.github/CONTRIBUTING.md,COPIED,67874a25f187b588a5a267be98d0f64a11688f9e59fdd83c0c768f029fa71be3,67874a25f187b588a5a267be98d0f64a11688f9e59fdd83c0c768f029fa71be3,MIT,retained for complete pinned source closure
.github/ISSUE_TEMPLATE/bug.yml,third_party/codex-deepseek-subagent/.github/ISSUE_TEMPLATE/bug.yml,COPIED,61eb1a3e2fb05f8528c56be328b226d76f311bf443a9168df9b7afcf26583acf,61eb1a3e2fb05f8528c56be328b226d76f311bf443a9168df9b7afcf26583acf,MIT,retained for complete pinned source closure
.github/ISSUE_TEMPLATE/config.yml,third_party/codex-deepseek-subagent/.github/ISSUE_TEMPLATE/config.yml,COPIED,544e789598a67f3b400e86b0ca40436d80f42fb4c545a5852d6b48f20f3ccc8c,544e789598a67f3b400e86b0ca40436d80f42fb4c545a5852d6b48f20f3ccc8c,MIT,retained for complete pinned source closure
.github/ISSUE_TEMPLATE/proposal.yml,third_party/codex-deepseek-subagent/.github/ISSUE_TEMPLATE/proposal.yml,COPIED,f30914fbac3446e934a188acc65f5c47e0f1f839c852d42be3f4abd85813c804,f30914fbac3446e934a188acc65f5c47e0f1f839c852d42be3f4abd85813c804,MIT,retained for complete pinned source closure
.github/ISSUE_TEMPLATE/provider-qualification.yml,third_party/codex-deepseek-subagent/.github/ISSUE_TEMPLATE/provider-qualification.yml,COPIED,eb6bf0cd10a3a8abffb060ac541909d4d9b51d7d4e489695cebef3adeffeb847,eb6bf0cd10a3a8abffb060ac541909d4d9b51d7d4e489695cebef3adeffeb847,MIT,retained for complete pinned source closure
.github/ISSUE_TEMPLATE/question.yml,third_party/codex-deepseek-subagent/.github/ISSUE_TEMPLATE/question.yml,COPIED,3a28c7c24848ef347d694e3e726d04e6f4c14b2efbaae42d583e48132831cb20,3a28c7c24848ef347d694e3e726d04e6f4c14b2efbaae42d583e48132831cb20,MIT,retained for complete pinned source closure
.github/pull_request_template.md,third_party/codex-deepseek-subagent/.github/pull_request_template.md,COPIED,26f39e8fc53f2f51c79d8630d016a8595d182e20a14f529e3739beb7e7bee6b4,26f39e8fc53f2f51c79d8630d016a8595d182e20a14f529e3739beb7e7bee6b4,MIT,retained for complete pinned source closure
.gitignore,third_party/codex-deepseek-subagent/.gitignore,COPIED,074ae324538888a810740a030683c34eb9fb290d3dc62bf76c8e917510c9de20,074ae324538888a810740a030683c34eb9fb290d3dc62bf76c8e917510c9de20,MIT,retained for complete pinned source closure
LICENSE,third_party/codex-deepseek-subagent/LICENSE,COPIED,210d6002fee9b14e4292bed5fd51010e34d4622224861e45b26fed86b8e87ff0,210d6002fee9b14e4292bed5fd51010e34d4622224861e45b26fed86b8e87ff0,MIT,license text retained verbatim
README.en.md,third_party/codex-deepseek-subagent/README.en.md,COPIED,a7a3e50c98ede93d15f393ea776692856e749c2d56b4ceb3f735e87941186346,a7a3e50c98ede93d15f393ea776692856e749c2d56b4ceb3f735e87941186346,MIT,retained for complete pinned source closure
README.md,third_party/codex-deepseek-subagent/README.md,COPIED,88bd73f8e1f6dd79a4772145457ebf1beb8994c1b6770e15283fd8b1d3dab898,88bd73f8e1f6dd79a4772145457ebf1beb8994c1b6770e15283fd8b1d3dab898,MIT,retained for complete pinned source closure
SECURITY.md,third_party/codex-deepseek-subagent/SECURITY.md,COPIED,0b53dc2be6f5b5f4ce854ce673b2594659a0732665ade49be649c817363cf683,0b53dc2be6f5b5f4ce854ce673b2594659a0732665ade49be649c817363cf683,MIT,retained for security provenance
agents/macos-keychain/v4-flash-worker.toml,third_party/codex-deepseek-subagent/agents/macos-keychain/v4-flash-worker.toml,COPIED,176cf8e5b77b92c6d5858f56928b3ff056c07a0a20d0b00603a324166e0ff3cb,176cf8e5b77b92c6d5858f56928b3ff056c07a0a20d0b00603a324166e0ff3cb,MIT,retained for complete pinned source closure
agents/v4-flash-worker.toml,third_party/codex-deepseek-subagent/agents/v4-flash-worker.toml,COPIED,32caffe2a38396daa32209f113d527d7ba88e5502bdccc99a1960964c447f036,32caffe2a38396daa32209f113d527d7ba88e5502bdccc99a1960964c447f036,MIT,retained for complete pinned source closure
agents/windows-live-env/v4-flash-worker.toml,third_party/codex-deepseek-subagent/agents/windows-live-env/v4-flash-worker.toml,COPIED,8ad7baf47155e0740c1fa2a6c1eab41792339a1a7ac256a4cafcaee706a6c9a1,8ad7baf47155e0740c1fa2a6c1eab41792339a1a7ac256a4cafcaee706a6c9a1,MIT,retained for complete pinned source closure
docs/advanced.en.md,third_party/codex-deepseek-subagent/docs/advanced.en.md,COPIED,1a220fabeb01d4db26c939c8201c9886d12b6e81b6b24144a695aebb91ad085a,1a220fabeb01d4db26c939c8201c9886d12b6e81b6b24144a695aebb91ad085a,MIT,retained for complete pinned source closure
docs/advanced.md,third_party/codex-deepseek-subagent/docs/advanced.md,COPIED,81e573b1bc872076161d1c918eb03e0679ac153e0ad3135d93b6f748f9dabc1c,81e573b1bc872076161d1c918eb03e0679ac153e0ad3135d93b6f748f9dabc1c,MIT,retained for complete pinned source closure
fixtures/smoke-input.txt,third_party/codex-deepseek-subagent/fixtures/smoke-input.txt,COPIED,b7383fea044646d48d597239385c40246df3ef511a3486053d4711d171589bc1,b7383fea044646d48d597239385c40246df3ef511a3486053d4711d171589bc1,MIT,retained for complete pinned source closure
hooks/hooks.posix.example.json,third_party/codex-deepseek-subagent/hooks/hooks.posix.example.json,COPIED,f9346ee869aa3539c09454d45e2b4be0d4ff3c1b487003e70d1025946ab46bfd,f9346ee869aa3539c09454d45e2b4be0d4ff3c1b487003e70d1025946ab46bfd,MIT,retained for complete pinned source closure
hooks/hooks.windows.example.json,third_party/codex-deepseek-subagent/hooks/hooks.windows.example.json,COPIED,ea0addd68fd238e64ab87b04fcfb82213e5e239e68ab0e5814c461cc919ac717,ea0addd68fd238e64ab87b04fcfb82213e5e239e68ab0e5814c461cc919ac717,MIT,retained for complete pinned source closure
hooks/plaintext-handoff.ps1,third_party/codex-deepseek-subagent/hooks/plaintext-handoff.ps1,COPIED,8f50071f3620171bd460ccd87d87fca6e34f592ad8aac777d7f063d341b875fd,8f50071f3620171bd460ccd87d87fca6e34f592ad8aac777d7f063d341b875fd,MIT,retained for complete pinned source closure
hooks/plaintext_handoff.py,third_party/codex-deepseek-subagent/hooks/plaintext_handoff.py,COPIED,16353e6eb4484412bd7560a10eeae4dcf1533709910a373a4e98d414dc725a49,16353e6eb4484412bd7560a10eeae4dcf1533709910a373a4e98d414dc725a49,MIT,retained for complete pinned source closure
prompts/install-with-codex.md,third_party/codex-deepseek-subagent/prompts/install-with-codex.md,COPIED,6564512c59f6ed3707cb14bfe4494b40f7d00fdcd2cb2361bb086e320f494449,6564512c59f6ed3707cb14bfe4494b40f7d00fdcd2cb2361bb086e320f494449,MIT,reference only; not BBK installer input
prompts/message-handoff-probe.md,third_party/codex-deepseek-subagent/prompts/message-handoff-probe.md,COPIED,14190af798562a9b27fc91dba4098d06c6bb49d1cccea22eec19cd068dcadd6b,14190af798562a9b27fc91dba4098d06c6bb49d1cccea22eec19cd068dcadd6b,MIT,reference only; not BBK installer input
prompts/quick-smoke-test.md,third_party/codex-deepseek-subagent/prompts/quick-smoke-test.md,COPIED,cdd1bb857ff3778f42703f77c344aba6e7cff2e2acee6c22dad9672dce10b398,cdd1bb857ff3778f42703f77c344aba6e7cff2e2acee6c22dad9672dce10b398,MIT,retained for complete pinned source closure
prompts/smoke-test.md,third_party/codex-deepseek-subagent/prompts/smoke-test.md,COPIED,0a2eb8ad22011af73fe5cf1c0ffaa1244367b8382a197d216fa7f9e3bc18567f,0a2eb8ad22011af73fe5cf1c0ffaa1244367b8382a197d216fa7f9e3bc18567f,MIT,retained for complete pinned source closure
skills/use-v4-flash-worker/SKILL.md,third_party/codex-deepseek-subagent/skills/use-v4-flash-worker/SKILL.md,COPIED,d3b03622f8f851fe846d08cb451cb0660e709e2ba62198b7f34e4214cd2d69c2,d3b03622f8f851fe846d08cb451cb0660e709e2ba62198b7f34e4214cd2d69c2,MIT,reference only; adapted behavior remains inactive
skills/use-v4-flash-worker/agents/openai.yaml,third_party/codex-deepseek-subagent/skills/use-v4-flash-worker/agents/openai.yaml,COPIED,03f7bfa2ee31094da7b582b185dd57722ee09dedbcc7959126902597197c32e6,03f7bfa2ee31094da7b582b185dd57722ee09dedbcc7959126902597197c32e6,MIT,retained for complete pinned source closure
snippets/AGENTS.md,third_party/codex-deepseek-subagent/snippets/AGENTS.md,COPIED,8a7124d9719a2c1e782f8c2f276d5eefa2bb8bbb1fdbf77c251fe2538bdf706d,8a7124d9719a2c1e782f8c2f276d5eefa2bb8bbb1fdbf77c251fe2538bdf706d,MIT,reference only; BBK generates canonical role prompts
tests/plaintext-handoff.windows.ps1,third_party/codex-deepseek-subagent/tests/plaintext-handoff.windows.ps1,COPIED,38c354655aae4c0fc127fffff1c8f4eaf0bd11a8213d147635371e34090981d3,38c354655aae4c0fc127fffff1c8f4eaf0bd11a8213d147635371e34090981d3,MIT,retained for complete pinned source closure
tests/test_agent_templates.py,third_party/codex-deepseek-subagent/tests/test_agent_templates.py,COPIED,16e0cac990957737b8c3dabc35b1d33517c05db84aec997a5a602d13f1defa86,16e0cac990957737b8c3dabc35b1d33517c05db84aec997a5a602d13f1defa86,MIT,retained for complete pinned source closure
tests/test_plaintext_handoff.py,third_party/codex-deepseek-subagent/tests/test_plaintext_handoff.py,COPIED,3f5c47b78b6038b964e06e30fc18490ba52b591fb207dc458ff233f231047cd8,3f5c47b78b6038b964e06e30fc18490ba52b591fb207dc458ff233f231047cd8,MIT,retained for complete pinned source closure
